All files need to be analysed to complete this operation.	இந்த செயலை பூர்த்தி செய்ய அனைத்து கோப்புகளையும் ஆராய வேண்டும்.
Had We sent down upon you a book on paper, and they had touched it with their hands, those who disbelieve would have said, "This is nothing but plain magic."	காகிதத்தில் (எழுதப்பட்ட) ஒரு வேதத்தையே நாம் உம் மீது இறக்கி வைத்து, அதனை அவர்கள் தம் கைகளால் தொட்டுப் பார்த்தபோதிலும், "இது பகிரங்கமான சூனியத்தைத்தவிர வேறில்லை என்று அந்நிராகரிப்போர் நிச்சயமாக சொல்வார்கள்.
The way (to blame) is only against those who oppress men and revolt in the earth unjustly; these shall have a painful punishment.	ஆனால் எவர்கள் மக்களுக்கு அநியாயம் செய்து நீதமின்றி பூமியில் அட்டூழியம் செய்கிறார்களோ, அவர்கள் மீது தான் (குற்றம் சுமத்த) வழியிருக்கிறது - இத்தகையோருக்கு நோவினை செய்யும் வேதனையுண்டு.
Display video, audio and image preview	காட்சி ஒலி மற்றும் பிம்ப முன்பார்வை ஆகியவற்றை காட்டு
Whether pressing return causes the activate signal to be emitted	திரும்பவும் அழுத்துவதால் ஒதுக்கப்பட்ட சிக்னல் மீண்டும் செயல்படுத்துகிறது
We're gonna sell the house... Jim...	நாங்கள் வீட்டை விற்க போகிறேன் என்று...
Praise be to Allah, Lord of the Worlds,	அனைத்துப்புகழும், அகிலங்கள் எல்லாவற்றையும் படைத்து வளர்த்துப் பரிபக்குவப்படுத்தும் (நாயனான) அல்லாஹ்வுக்கே ஆகும்.
And We made them tractable for them; so some of them make their mounts and some of them they eat.	மேலும், அவற்றை அவர்களுக்குக் கீழ்படியுமாறு செய்துள்ளோம்; ஆகவே, அவற்றில் சிலவற்றின் மீது அவர்கள் ஏறிச்சவாரி செய்வதும் இருக்கிறது இன்னும் அவற்றிலிருந்து சிலவற்றைப் புசிக்கிறார்கள்.
And verily, for those who do wrong, there is a portion of torment like to the evil portion of torment (which came for) their likes (of old), so let them not ask Me to hasten on!	எனவே, அநியாயம் செய்து கொண்டிருப்போருக்கு, அவர்களுடைய தோழர்களுக்கு வேதனையிலிருந்து ஒரு பங்கு இருந்தது போல், ஒரு பங்கு நிச்சயமாக உண்டு ஆகவே, (தண்டனைக்காக) அவர்கள் என்னை அவசரப்படுத்த வேண்டாம்.
As for the ship, it belonged to certain poor men, who toiled upon the sea; and I desired to damage it, for behind them there was a king who was seizing every ship by brutal force.	"அம்மரக்கலம் கடலில் வேலை செய்யும் ஏழைகள் சிலருக்குச் சொந்தமானது எனவே நான் அதை (ஓட்டையிட்டு)ப் பழுதாக்க விரும்பினேன்; (ஏனெனில்) அவர்களுக்குப் பின்னால் (கொடுங்கோலனான) ஓர் அரசன் இருந்தான்; அவன் (பழுதில்லா) மரக்கலங்களையெல்லாம் பலவந்தமாக எடுத்துக் கொள்கிறான்.
Split track in a fixed number of parts	தடத்தை ஒரு குறித்த எண்ணிக்கை பகுதிகளாக பிரி
What's that supposed to mean?	என்று அர்த்தம் வேண்டும் என்ன?
It wouldn't be improper for me to forward Ellen some money.	இது எனக்கு எல்லன் பணம் அனுப்ப வேண்டும் முறையற்ற முடியாது.
Okay, let's get one thing straight.	சரி, நம்ம ஒன்னு செய்யலாம்.
When it does not behove the Merciful to have a son.	ஒரு குமாரனை எடுத்துக் கொள்வது அல்லாஹ்வுக்குத் தேவையில்லாதது.
That won't even get us one night's hotel room down there.	என்று கூட கீழே ஒரு இரவு விடுதியில் பெற முடியாது.
Surely those who disbelieve spend their wealth to hinder (people) from the way of Allah; so they shall spend it, then it shall be to them an intense regret, then they shall be overcome; and those who disbelieve shall be driven together to hell.	நிச்சயமாக நிராகரிப்பவர்கள், அல்லாஹ்வின் பாதையை விட்டும் தடுப்பதற்காக தங்கள் செல்வங்களை செலவு செய்கின்றனர்; (இவ்வாறே அவர்கள் தொடர்ந்து) அவற்றை செலவு செய்து கொண்டிருப்பார்கள் - முடிவில் (அது) அவர்களுக்கே துக்கமாக அமைந்துவிடும்; பின்னர் அவர்கள் வெற்றி கொள்ளப்படுவார்கள்; (இறுதியில்) நிராகரிப்பவர்கள் நரகத்தில் ஒன்று சேர்க்கப்படுவார்கள்.
No, you make a decision right now, Tony.	இல்லை, இப்போவே ஒரு முடிவெடுக்கணும், டோனி.
He said: Ye have chosen only idols instead of Allah. The love between you is only in the life of the world. Then on the Day of Resurrection ye will deny each other and curse each other, and your abode will be the Fire, and ye will have no helpers.	மேலும் (இப்றாஹீம்) சொன்னார்; "உலக வாழ்ககையில் அல்லாஹ்வையன்றி (சிலரை) வணக்கத்திற்குரியவர்களாக நீங்கள் ஆக்கிக் கொண்டது (அவர்கள் மீது) உங்களிடையேயுள்ள நேசத்தின் காரணத்தினால்தான்; பின்னர் கியாம நாளன்று உங்களில் சிலர் சிலரை நிராகரிப்பார்கள்; உங்களில் சிலர் சிலரை சபித்துக் கொள்வர்; (இறுதியில்), நீங்கள் ஒதுங்குந்தலம் (நரக) நெருப்புத்தான்; (அங்கு) உங்களுக்கு உதவியாளர் எவருமில்லை.
And why should you not eat of that (meat) on which Allah's Name has been pronounced (at the time of slaughtering the animal), while He has explained to you in detail what is forbidden to you, except under compulsion of necessity? And surely many do lead (mankind) astray by their own desires through lack of knowledge. Certainly your Lord knows best the transgressors.	அல்லாஹ்வின் பெயர் கூறி (உங்களுக்கு அனுமதிக்கப்பட்டவற்றில்) அறுக்கப்பட்டதை நீங்கள் சாப்பிடாமலிருக்க என்ன (தடை) இருக்கிறது? நீங்கள் நிர்ப்பந்திக்கப்பட்டாலன்றி சாப்பிட உங்களுக்கு விலக்கப்பட்டவை எவை என்பதை அல்லாஹ் விவரித்துக் கூறியுள்ளான் - ஆனால் பெரும்பாலோர், அறியாமையின் காரணமாகத் தங்களுடைய மன இச்சைகளின் பிரகாரம் (மனிதர்களை) வழி கெடுக்கிறார்கள்; வரம்பு மீறிச்செல்பவர்களை நிச்சயமாக உம் இறைவன் நன்கு அறிகிறான்.
He's been thinking about it for 20 years.	அவர் நினைத்து 20 ஆண்டுகளில் இது பற்றி.
Thanks for finding me a home.	என்னை ஒரு வீட்டில் கண்டுபிடித்து நன்றி.
..it's nearly twenty thousand years old.	.. அது கிட்டத்தட்ட இருபது ஆயிரம் ஆண்டுகள் பழமையான .
Saeed Ali Hariri is being treated at his own residence.	சயித் ஹரிரி இருப்பது தனது சொந்த இல்லத்தில் சிகிச்சை.
My arm ain't worth a damn.	என் கையில் எதுவும் தகுதியானவன் அல்ல.
You're embarrassed about your friends? Huh?	நீங்கள் உங்கள் நண்பர்களை பற்றி தர்மசங்கடத்தில்?
Or He could wreck them for what they have done; yet there is much that He pardons.	அல்லது அவர்கள் சம்பாதித்த காரணத்தினால் அவற்றை அவன் மூழ்கடிக்கச் செய்து விடுவான்; மேலும் அவன் பெரும்பாலானவற்றை மன்னித்தருளுகிறான்.
The hypocrites fear for a chapter being revealed regarding them, which may disclose what is hidden in their hearts; say, "Keep mocking; Allah will certainly disclose what you fear."	முனாஃபிக்குகள் (நயவஞ்சகர்கள்) தம் உள்ளங்களில் மறைத்து வைத்திருப்பவற்றை அவர்களுக்கு உணர்த்திவிடக்கூடிய ஓர் அத்தியாயம் இறக்கி வைக்கப்படுமோ என அஞ்சுகிறார்கள் - (நபியே!) நீர் கூறும்; " நீங்கள் பரிகாசம் செய்து கொண்டே இருங்கள். நீங்கள் அஞ்சிக் கொண்டிருப்பதை நிச்சயமாக அல்லாஹ் வெளிப்படுத்துபவனாகவே இருக்கின்றான்."
Maximum number of samples lower than minimum number.	குறைவான எண்ணிக்கையை காட்டிலும் அதிகமானது அதிகபட்ச எண்ணிக்கை
So what are you going to do... to do?	அதனால் நீங்கள் என்ன செய்ய போகிறீர்கள் ... செய்ய வேண்டும்?
Each messenger said, "What if I should bring you better guidance than what you found your forefathers had?" They replied, "We reject any message you have been sent with!"	(அப்பொழுது அத்தூதர்,) "உங்கள் மூதாதையரை எதன்மீது நீங்கள் கண்டீர்களோ, அதை விட மேலான நேர்வழியை நான் உங்களுக்குக் கொண்டு வந்திருந்த போதிலுமா?" என்று கேட்டார். அதற்கு அவர்கள்; "நிச்சயமாக நாங்கள், எதைக்கொண்டு நீங்கள் அனுப்பப்பட்டிருக்கிறீர்களோ, அதை நிராகரிக்கிறோம்" என்று சொன்னார்கள்.
My son, be steadfast in prayer. Make others do good. Prevent them from doing evil. Be patient in hardship. Patience comes from faith and determination.	"என் அருமை மகனே! நீ தொழுகையை நிலை நாட்டுவாயாக நன்மையை ஏவி, தீமையை விட்டும் (மனிதர்களை) விலக்குவாயாக உனக்கு ஏற்படும் கஷ்டங்களைப் பொறுத்துக் கொள்வாயாக் நிச்சயமாக இதுவே வீரமுள்ள செயல்களில் உள்ளதாகும்
Great plan, Thomas. "Just hear what the man has to say. "	கிரேட் திட்டம், தாமஸ். "ஜஸ்ட் மனிதன் என்ன சொல்ல வேண்டும் என்று கேட்க."
Assuredly in Yusuf and his brethren there have been signs for the inquirers.	நிச்சயமாக யுஸுஃபிடத்திலும் அவர்களுடைய சகோதரர்களிடத்திலும் (அவர்களைப் பற்றி) விசாரிப்பவர்களுக்கு பல படிப்பினைகள் இருக்கின்றன.
Keep the aspect ratio of the texture when requesting the preferred width or height	விருப்பமான அகலம் அல்லது உயரத்துடன் கோரும் போது அமைப்பின் தோற்ற விகிதத்தை வைத்திருக்கவும்
Good afternoon, ladies and gentlemen, and welcome to Delancy's.	வணக்கம், பெண்கள் மற்றும் தாய்மார்களே, மற்றும் Delancy இன் வரவேற்கிறேன்.
"And do not disgrace me. Have some fear of God."	"அல்லாஹ்வுக்கு அஞ்சுங்கள். என்னைக் கேவலப்படுத்தி விடாதீர்கள்" என்றும் கூறினார்.
One of soundness. And he rose to [his] true form	(அவர்) மிக்க உறுதியானவர், பின்னர் அவர் (தம் இயற்கை உருவில்) நம் தூதர் முன் தோன்றினார்.
Certainly We favoured Moses and Aaron,	மேலும், மூஸா, ஹாரூன் ஆகியவர்கள் மீதும் நாம் நிச்சயமாக அருள் புரிந்தோம்.
Recording audio tracks on a rewritable disc is not advised.	ஒலி தடங்களை மீண்டும் எழுதக்கூடிய வட்டுகளில் பதிப்பது உசிதமல்ல.
No, I'm in the middle of something.	இல்லை, நான் ஏதாவது நடுத்தர இருக்கிறேன்.
